"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","longitude","latitude"
271,"Sevruga","dinner","Seafood",3,"12","22","12","22","12","22",2,3,18.4149897,-33.9264666
273,"Truth Coffee","dinner","Cafe",1,"7.5","18","7.5","18","7.5","18",1,3,18.42256,-33.92819
275,"Hudsons The Burger Joint","dinner","Burger",3,"12","23","12","23","12","23",2,3,18.4240553,-33.9248685
277,"Da Vincis On Kloof","dinner","Burger",2,"11","23","11","23","11","23",1.5,3,18.42044,-33.91936
279,"Balducci","dinner","Italian",2,"11","22","11","22","11","22",1.5,2,18.4570823,-33.9275444
281,"Loco Lounge","dinner","Mediterranean",2,NA,NA,"NULL",NA,"NULL",NA,1.5,2,18.4201597,-33.9187159
283,"The Fat Cactus","dinner","Mexican",2,"10","24","10","24","10","24",1.5,3,18.41077,-33.93035
285,"96 Winery Road","dinner","African",3,"12",NA,"12","NA","12","NA",2,1,18.6016519,-33.911209
287,"Rocomamas","dinner","Burger",2,"9","22","9","22","9","22",1.5,1,18.4109541,-33.9083068
289,"HQ Restaurant - Heritage Square","dinner","Steakhouse",3,"12","24","12","24","12","24",2,3,18.4147857,-33.9266528
291,"Ristorante Posticino","dinner","Italian",2,"24","23","24","23","24","23",1.5,3,18.4240553,-33.9248685
293,"The Cousins Trattoria","dinner","Italian",2,"18","22","18","22","18","22",1.5,1,18.4240553,-33.9248685
295,"The Odyssey","dinner","Burger",2,"11","24","11","24","11","24",1.5,2,18.41833,-33.92139
297,"Zapata Mexican Restaurant","dinner","Mexican",2,NA,"22","NA","22","NA","22",1.5,1,18.481927,-33.980067
299,"Olympia Cafe & Deli","dinner","Cafe",1,"7","21","7","21","7","21",1,2,18.47422,-33.986892
